"Source:","/Users/shoaib/Projects/Capibator_PCB/Capibator_PCB.kicad_sch"
"Date:",""
"Tool:","Eeschema 7.0.9"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","16"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","5","C1, C2, C4, C5, C6","10u","Device:C","","~",""
"2","1","C3","100u","Device:C","","~",""
"3","1","C7","C","Device:C","","~",""
"4","2","D1, D2","MBR1020VL","Diode:MBR1020VL","Diode_SMD:D_SOD-123F","https://www.onsemi.com/pub/Collateral/MBR1020VL-D.PDF",""
"5","1","D3","LED","Device:LED","","~",""
"6","1","J2","FTDI","Connector_Generic:Conn_01x06","","~",""
"7","1","R1","10k","Device:R","","~",""
"8","2","SW1, SW2","SW_MEC_5G","Switch:SW_MEC_5G","","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488",""
"9","1","U1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf",""
"10","1","U2","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf",""
