Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric",175.610000,-108.320000,-90.000000,top
"C2","10u","C_0805_2012Metric",185.910000,-109.820000,-90.000000,top
"C3","0.1u","C_0805_2012Metric",145.010000,-76.720000,-90.000000,top
"C4","6p","C_0805_2012Metric",168.510000,-92.820000,180.000000,top
"C5","10u","C_0805_2012Metric",136.710000,-111.820000,0.000000,top
"C6","10u","C_0805_2012Metric",136.710000,-115.120000,180.000000,top
"C7","10u","C_0805_2012Metric",136.760000,-118.520000,180.000000,top
"C8","10u","C_0805_2012Metric",179.010000,-108.320000,-90.000000,top
"C9","6p","C_0805_2012Metric",168.510000,-90.720000,180.000000,top
"C10","10u","C_0805_2012Metric",156.610000,-99.320000,0.000000,top
"C12","10u","C_0805_2012Metric",165.310000,-87.920000,-90.000000,top
"C13","10u","C_0805_2012Metric",182.410000,-108.320000,-90.000000,top
"C14","0.1u","C_0805_2012Metric",191.710000,-105.720000,0.000000,top
"C15","10u","C_0805_2012Metric",198.810000,-90.170000,-90.000000,top
"C16","10u","C_0805_2012Metric",198.810000,-94.270000,90.000000,top
"C17","10u","R_0805_2012Metric",180.310000,-104.220000,-90.000000,top
"C18","22u","R_0805_2012Metric",177.510000,-104.220000,-90.000000,top
"C19","22u","R_0805_2012Metric",174.810000,-104.220000,-90.000000,top
"C20","10u","C_0805_2012Metric",188.310000,-93.720000,90.000000,top
"C21","22u","R_0805_2012Metric",172.010000,-104.220000,-90.000000,top
"D1","1N5819WS","D_SOD-323F",183.642000,-114.046000,-90.000000,top
"D2","LED_PWR","LED_0805_2012Metric",178.810000,-118.320000,90.000000,top
"D3","1N4001","D_SOD-123F",152.610000,-122.320000,-90.000000,top
"D4","FAULT_LED","LED_0805_2012Metric",165.310000,-114.520000,90.000000,top
"D5","BUSY_LED","D_0805_2012Metric",168.010000,-114.457500,90.000000,top
"D6","1N4001","D_SOD-123F",185.801000,-80.899000,180.000000,top
"D7","CONNECTIVITY_LED","LED_0805_2012Metric",170.410000,-114.457500,90.000000,top
"D8","1N4001","D_SOD-123F",156.110000,-122.320000,90.000000,top
"D9","LED","LED_0805_2012Metric",155.910000,-102.720000,90.000000,top
"D10","1N4001","D_SOD-123F",167.910000,-87.379000,90.000000,top
"D11","1N4001","D_SOD-123F",149.510000,-122.220000,-90.000000,top
"D13","LED","LED_0805_2012Metric",187.310000,-98.020000,0.000000,top
"D14","LED","LED_0805_2012Metric",183.210000,-98.020000,0.000000,top
"J2","LED","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",178.510000,-129.820000,0.000000,top
"J8","Fan_Exhaust","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",156.410000,-129.820000,0.000000,top
"J9","Fan_Continous","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",185.910000,-75.520000,180.000000,top
"J10","mist","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",167.535000,-129.770000,0.000000,top
"J12","Water_Level","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",177.610000,-75.520000,180.000000,top
"J15","Display","JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical",159.288000,-83.902000,180.000000,top
"J16","Rotary encoder","JST_GH_BM05B-GHS-TBT_1x05-1MP_P1.25mm_Vertical",144.310000,-114.520000,0.000000,top
"J17","Temp","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",168.710000,-75.520000,180.000000,top
"J18","Temp2","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",159.810000,-75.520000,180.000000,top
"J19","Water_Pump","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",144.810000,-129.620000,0.000000,top
"L1","1.5u","L_Murata_LQH2MCNxxxx02_2.0x1.6mm",183.410000,-104.320000,-90.000000,top
"Q2","AO3406","SOT-23",170.860000,-122.757500,-90.000000,top
"Q3","AO3406","SOT-23",182.960000,-122.757500,-90.000000,top
"Q4","AO3406","SOT-23",155.710000,-115.582500,-90.000000,top
"Q5","AO3406","SOT-23",184.810000,-84.820000,0.000000,top
"Q6","AO3406","SOT-23",159.710000,-114.420000,180.000000,top
"Q7","SI2301","SOT-23",177.972500,-114.120000,180.000000,top
"Q8","AO3406","SOT-23",173.810000,-114.357500,-90.000000,top
"Q9","AO3406","SOT-23",167.910000,-96.220000,0.000000,top
"Q10","AO3406","SOT-23",151.710000,-113.020000,-90.000000,top
"R1","10k","R_0805_2012Metric",145.010000,-80.820000,-90.000000,top
"R2","3k","R_0805_2012Metric",192.532000,-102.616000,90.000000,top
"R5","330","R_0805_2012Metric",166.710000,-122.420000,-90.000000,top
"R6","330","R_0805_2012Metric",175.010000,-122.620000,90.000000,top
"R8","1k","R_0805_2012Metric",163.410000,-122.420000,90.000000,top
"R9","1k","R_0805_2012Metric",178.610000,-122.720000,90.000000,top
"R10","10K","R_0805_2012Metric",155.610000,-111.920000,180.000000,top
"R11","100","R_0805_2012Metric",175.785000,-118.920000,180.000000,top
"R12","100","R_0805_2012Metric",165.310000,-118.320000,-90.000000,top
"R13","10K","R_0805_2012Metric",188.010000,-84.820000,-90.000000,top
"R14","100","R_0805_2012Metric",168.010000,-118.257500,-90.000000,top
"R15","100","R_0805_2012Metric",170.410000,-118.257500,-90.000000,top
"R16","1.3k","R_0805_2012Metric",186.610000,-114.120000,90.000000,top
"R17","10k","R_0805_2012Metric",170.910000,-96.420000,90.000000,top
"R19","10k","R_0805_2012Metric",171.110000,-100.220000,90.000000,top
"R20","10k","R_0805_2012Metric",159.910000,-95.932500,-90.000000,top
"R21","10k","R_0805_2012Metric",157.610000,-95.932500,-90.000000,top
"R22","10k","R_0805_2012Metric",174.910000,-93.620000,-90.000000,top
"R23","10k","R_0805_2012Metric",189.010000,-109.020000,0.000000,top
"R24","10k","R_0805_2012Metric",189.010000,-111.220000,0.000000,top
"R25","68.1k","R_0805_2012Metric",190.373000,-102.616000,90.000000,top
"R26","10k","R_0805_2012Metric",162.210000,-95.920000,-90.000000,top
"R29","10k","R_0805_2012Metric",185.910000,-87.820000,0.000000,top
"R30","210k","R_0805_2012Metric",194.818000,-102.616000,-90.000000,top
"R31","100","R_0805_2012Metric",187.310000,-100.820000,0.000000,top
"R32","100","R_0805_2012Metric",183.210000,-100.820000,0.000000,top
"R35","10K","R_0805_2012Metric",163.210000,-114.420000,90.000000,top
"R36","1K","R_0805_2012Metric",159.766000,-122.428000,-90.000000,top
"R37","100","R_0805_2012Metric",155.910000,-106.520000,-90.000000,top
"R38","10K","R_0805_2012Metric",172.910000,-118.257500,90.000000,top
"R39","10K","R_0805_2012Metric",164.610000,-96.120000,-90.000000,top
"R40","1K","R_0805_2012Metric",171.910000,-93.020000,-90.000000,top
"R41","10K","R_0805_2012Metric",152.310000,-117.120000,90.000000,top
"SW1","SW_Omron_B3FS","SW_SPST_Omron_B3FS-100xP",151.010000,-77.320000,90.000000,top
"SW2","SW_Omron_B3FS","SW_SPST_Omron_B3FS-100xP",139.010000,-77.220000,90.000000,top
"U1","TPS63070RNMR","VREG_TPS63070RNMR",186.710000,-104.920000,180.000000,top
"U3","AMS1117-5.0","SOT-223-3_TabPin2",193.710000,-92.870000,-90.000000,top
"U5","PCF8574","SOIC127P1032X265-16N",164.210000,-104.320000,90.000000,top
"U6","MAX17048G_T10","SON50P200X200X80-9N",174.295000,-97.470000,180.000000,top
"U7","TP4056","SOP127P600X175-9N",184.210000,-92.920000,-90.000000,top
"U8","DS1307+","21-0041B_8",159.810000,-90.420000,180.000000,top
"Y1","32.768kHz Quartz Crystal","Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering",165.608000,-91.694000,-90.000000,top
